"Acciuga sott'olio, sgocciolata",182
"Aceto",22
"Aceto balsamico",128
"Acqua potabile",0
"Acquavite 40% vol (Vodka, Gin)",222
"Acquavite di canna da zucchero (p.e. Rum)",222
"Acquavite di cereali, 40% vol (p.e. Whisky)",234
"Acquavite di ciliegie (Kirsch)",233
"Acquavite di vino (p.e. Cognac, brandy)",228
"Affettato (media)",276
"Agar Agar",160
"Aglio, crudo",137
"Agnello (media, senza interiora e cotoletta), cruda",134
"Agnello, carrÇ, crudo",156
"Agnello, cosciotto arrosto (senza grassi)",203
"Agnello, cosciotto, crudo",155
"Agnello, costoletta, cruda",179
"Agnello, filetto, cotto in padella (cottura media, no grassi)",136
"Agnello, filetto, crudo",112
"Agnello, lombata, cruda",117
"Agnello, spezzatino, crudo (Svizzera)",154
"Agrumi (media), crudi",42
"Albicocca, cruda",48
"Albicocche, cotte, sgocciolate (senza zucchero)",49
"Albicocche, non zuccherate, conserva",48
"Albicocche, secche",293
"Albicocche, zuccherate, conserva",83
"Albume d'uovo, crudo",44
"Alghe, Nori, secche",255
"Amaranto, seme, cotto (senza grassi)",119
"Amaranto, seme, crudo",376
"Amaretti (biscotti alle mandorle)",464
"Amaretto alle nocciole",544
"Amido di frumento",348
"Anacardi",593
"Ananas, crudo",52
"Ananas, non zuccherato, conserva",51
"Ananas, zuccherato, conserva",86
"Anguria, cruda",31
"Arachidi",623
"Arachidi, tostate, salate",631
"Arancia, cruda",44
"Asparago, al vapore",26
"Asparago, crudo",27
"Avocado, crudo",144
"Bacca di sambuco nero, cruda",52
"Bacche (media), cotte (senza zucchero)",37
"Bacche (media), crude",42
"Bami Goreng, preparato",130
"Banana, cruda",95
"Banana, secca",273
"Barbabietola, al vapore",54
"Barbabietola, cruda",46
"Barretta ai cereali, con copertura cioccolato",459
"Barretta ai cereali, senza copertura o ripieno",415
"Basilico, fresco",46
"Bastoncini alle nocciole",567
"Bastoncini di pasta sfoglia",496
"Bastoncino di pesce impanato, al forno (senza grassi)",248
"Bastoncino di pesce impanato, in olio di colza HOLL",300
"Bastoncino di pesce, impanato e prefritto",230
"Berner HobelkÑse (formaggio rotoli)",491
